Command,Explanation,Doc_Path,Html_Path
eval,Evaluate several commands/arguments,docs/txt/eval.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\eval.html
exec,Execute a command,docs/txt/exec.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\exec.html
exit,Exit the shell,docs/txt/exit.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\exit.html
expand,Convert tabs to spaces,docs/txt/expand.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\expand.html
export,Set an environment variable,docs/txt/export.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\export.html
expr,Evaluate expressions,docs/txt/expr.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\expr.html
FALSE,"Do nothing, unsuccessfully",docs/txt/FALSE.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\FALSE.html
fdformat,Low-level format a floppy disk,docs/txt/fdformat.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\fdformat.html
fdisk,Partition table manipulator for Linux,docs/txt/fdisk.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\fdisk.html
fg,Send job to foreground,docs/txt/fg.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\fg.html
fgrep,Search file(s) for lines that match a fixed string,docs/txt/fgrep.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\fgrep.html
file,Determine file type,docs/txt/file.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\file.html
find,Search for files that meet a desired criteria,docs/txt/find.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\find.html
fmt,Reformat paragraph text,docs/txt/fmt.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\fmt.html
fold,Wrap text to fit a specified width,docs/txt/fold.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\fold.html
for,"Expand words, and execute commands",docs/txt/for.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\for.html
format,Format disks or tapes,docs/txt/format.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\format.html
free,Display memory usage,docs/txt/free.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\free.html
fsck,File system consistency check and repair,docs/txt/fsck.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\fsck.html
ftp,File Transfer Protocol,docs/txt/ftp.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\ftp.html
function,Define Function Macros,docs/txt/function.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\function.html
fuser,Identify/kill the process that is accessing a file,docs/txt/fuser.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\fuser.html
gawk,Find and Replace text within file(s),docs/txt/gawk.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\gawk.html
getopts,Parse positional parameters,docs/txt/getopts.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\getopts.html
getfacl,Get file access control lists,docs/txt/getfacl.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\getfacl.html
grep,Search file(s) for lines that match a given pattern,docs/txt/grep.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\grep.html
groupadd,Add a user security group,docs/txt/groupadd.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\groupadd.html
groupdel,Delete a group,docs/txt/groupdel.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\groupdel.html
groupmod,Modify a group,docs/txt/groupmod.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\groupmod.html
groups,Print group names a user is in,docs/txt/groups.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\groups.html
gzip,Compress or decompress named file(s),docs/txt/gzip.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\gzip.html
hash,Remember the full pathname of a name argument,docs/txt/hash.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\hash.html
head,Output the first part of file(s),docs/txt/head.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\head.html
help,Display help for a built-in command ,docs/txt/help.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\help.html
history,Command History,docs/txt/history.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\history.html
hostname,Print or set system name,docs/txt/hostname.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\hostname.html
htop,Interactive process viewer,docs/txt/htop.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\htop.html
iconv,Convert the character set of a file,docs/txt/iconv.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\iconv.html
id,Print user and group id's,docs/txt/id.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\id.html
if,Conditionally perform a command,docs/txt/if.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\if.html
ifconfig,Configure a network interface,docs/txt/ifconfig.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\ifconfig.html
ifdown,Stop a network interface,docs/txt/ifdown.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\ifdown.html
ifup,Start a network interface up,docs/txt/ifup.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\ifup.html
import,Capture an X server screen and save the image to file,docs/txt/import.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\import.html
install,Copy files and set attributes,docs/txt/install.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\install.html
iostat,Report CPU and i/o statistics,docs/txt/iostat.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\iostat.html
ip,"Routing, devices and tunnels",docs/txt/ip.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\ip.html
jobs,List active jobs ,docs/txt/jobs.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\jobs.html
join,Join lines on a common field,docs/txt/join.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\join.html
kill,Kill a process by specifying its PID,docs/txt/kill.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\kill.html
killall,Kill processes by name,docs/txt/killall.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\killall.html
klist,List cached Kerberos tickets,docs/txt/klist.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\klist.html
less,Display output one screen at a time,docs/txt/less.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\less.html
let,Perform arithmetic on shell variables ,docs/txt/let.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\let.html
link,Create a link to a file,docs/txt/link.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\link.html
ln,Create a symbolic link to a file,docs/txt/ln.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\ln.html
local,Create a function variable ,docs/txt/local.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\local.html
locate,Find files,docs/txt/locate.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\locate.html
logname,Print current login name,docs/txt/logname.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\logname.html
logout,Exit a login shell ,docs/txt/logout.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\logout.html
look,Display lines beginning with a given string,docs/txt/look.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\look.html
lpc,Line printer control program,docs/txt/lpc.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\lpc.html
lpr,Print files,docs/txt/lpr.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\lpr.html
lprint,Print a file,docs/txt/lprint.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\lprint.html
lprintd,Delete a print job,docs/txt/lprintd.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\lprintd.html
lprintq,List the print queue,docs/txt/lprintq.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\lprintq.html
lprm,Remove jobs from the print queue,docs/txt/lprm.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\lprm.html
lsattr,List file attributes on a Linux second extended file system,docs/txt/lsattr.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\lsattr.html
lsblk,List block devices,docs/txt/lsblk.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\lsblk.html
ls,List information about file(s),docs/txt/ls.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\ls.html
lsof,List open files,docs/txt/lsof.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\lsof.html
lspci,List all PCI devices,docs/txt/lspci.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\lspci.html
make,Recompile a group of programs,docs/txt/make.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\make.html
man,Help manual,docs/txt/man.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\man.html
mapfile,Read lines from standard input into an indexed array variable ,docs/txt/mapfile.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\mapfile.html
mkdir,Create new folder(s),docs/txt/mkdir.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\mkdir.html
mkfifo,Make FIFOs (named pipes),docs/txt/mkfifo.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\mkfifo.html
mkfile,Make a file,docs/txt/mkfile.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\mkfile.html
mkisofs,Create a hybrid ISO9660/JOLIET/HFS filesystem,docs/txt/mkisofs.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\mkisofs.html
mknod,Make block or character special files,docs/txt/mknod.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\mknod.html
mktemp,Make a temporary file,docs/txt/mktemp.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\mktemp.html
more,Display output one screen at a time,docs/txt/more.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\more.html
most,Browse or page through a text file,docs/txt/most.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\most.html
mount,Mount a file system,docs/txt/mount.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\mount.html
mtools,Manipulate MS-DOS files,docs/txt/mtools.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\mtools.html
mtr,Network diagnostics (traceroute/ping),docs/txt/mtr.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\mtr.html
mv,Move or rename files or directories,docs/txt/mv.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\mv.html
mmv,Mass Move and rename (files),docs/txt/mmv.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\mmv.html
nc,"Netcat, read and write data across networks",docs/txt/nc.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\nc.html
netstat,Networking connections/stats,docs/txt/netstat.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\netstat.html
nft,nftables for packet filtering and classification,docs/txt/nft.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\nft.html
nice,Set the priority of a command or job,docs/txt/nice.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\nice.html
nl,Number lines and write files,docs/txt/nl.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\nl.html
nohup,Run a command immune to hangups,docs/txt/nohup.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\nohup.html
notify-send,Send desktop notifications,docs/txt/notify-send.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\notify-send.html
nslookup,Query Internet name servers interactively,docs/txt/nslookup.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\nslookup.html
open,Open a file in its default application,docs/txt/open.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\open.html
op,Operator access,docs/txt/op.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\op.html
passwd,Modify a user password,docs/txt/passwd.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\passwd.html
paste,Merge lines of files,docs/txt/paste.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\paste.html
pathchk,Check file name portability,docs/txt/pathchk.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\pathchk.html
Perf,Performance analysis tools for Linux,docs/txt/Perf.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\Perf.html
ping,Test a network connection,docs/txt/ping.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\ping.html
pgrep,List processes by name,docs/txt/pgrep.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\pgrep.html
pkill,Kill processes by name,docs/txt/pkill.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\pkill.html
popd,Restore the previous value of the current directory,docs/txt/popd.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\popd.html
pr,Prepare files for printing,docs/txt/pr.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\pr.html
printcap,Printer capability database,docs/txt/printcap.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\printcap.html
printenv,Print environment variables,docs/txt/printenv.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\printenv.html
printf,Format and print data ,docs/txt/printf.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\printf.html
ps,Process status,docs/txt/ps.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\ps.html
pushd,Save and then change the current directory,docs/txt/pushd.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\pushd.html
pv,Monitor the progress of data through a pipe,docs/txt/pv.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\pv.html
pwd,Print Working Directory,docs/txt/pwd.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\pwd.html
quota,Display disk usage and limits,docs/txt/quota.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\quota.html
quotacheck,Scan a file system for disk usage,docs/txt/quotacheck.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\quotacheck.html
ram,ram disk device,docs/txt/ram.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\ram.html
rar,Archive files with compression,docs/txt/rar.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\rar.html
rcp,Copy files between two machines,docs/txt/rcp.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\rcp.html
read,Read a line from standard input ,docs/txt/read.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\read.html
readarray,Read from stdin into an array variable ,docs/txt/readarray.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\readarray.html
readonly,Mark variables/functions as readonly,docs/txt/readonly.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\readonly.html
